epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,learning_rate
0,6335.251909255981,29.630854,79.79854,-0.13311422,4514.630862765842,23.798841,69.822136,-0.07617676,0.001
1,5686.318888982137,27.305864,75.59966,-0.017006159,4311.5741780598955,26.214848,68.13285,-0.024732351,0.001
2,5610.539302825928,28.014349,75.09424,-0.0034530163,4310.662095811632,25.545704,68.149536,-0.025234222,0.001
3,5616.319408416748,27.80588,75.13329,-0.004496932,4310.250128851996,25.54438,68.14631,-0.025137186,0.001
4,5615.740628560384,27.815378,75.12918,-0.0043871403,4310.077453613281,25.570717,68.14401,-0.025068164,0.001
5,5616.317485809326,27.801966,75.13305,-0.004490614,4306.795722113715,25.553028,68.11873,-0.024307609,0.001
6,5571.645177205403,27.31775,74.837074,0.0034079552,4224.384124755859,24.713903,67.51873,-0.0063427687,0.001
7,5328.278882980347,26.492474,73.18723,0.046864808,4085.02635023329,25.035055,66.405396,0.026571512,0.001
8,5131.198165893555,26.697142,71.82108,0.08211619,4020.630628797743,23.912981,65.868256,0.0422554,0.001
9,5056.263320922852,26.692253,71.29542,0.09550321,3955.4255574544272,24.530563,65.34061,0.05753845,0.001
10,4970.766333262126,26.393288,70.691,0.11077416,3898.887671576606,24.56316,64.88075,0.07075739,0.001
11,4905.657367706299,26.327307,70.226616,0.1224187,3847.128353542752,25.046349,64.44461,0.08320862,0.001
12,4863.113703409831,26.209505,69.92183,0.13001978,3789.8044874403213,24.491787,63.955956,0.09705913,0.001
13,4797.043359120687,26.286882,69.44408,0.1418677,3756.46194797092,24.132792,63.671577,0.10507107,0.001
14,4752.867355664571,25.814602,69.12428,0.14975291,3737.5879821777344,24.469152,63.50232,0.10982269,0.001
15,4703.395814259847,26.200577,68.76474,0.15857494,3545.279086642795,23.284164,61.897186,0.15425557,0.001
16,4545.927267074585,25.342281,67.60177,0.18679506,3510.9493781195747,23.60405,61.587795,0.16268933,0.001
17,4524.446838378906,25.316767,67.44369,0.19059384,3476.418463812934,23.296577,61.288223,0.17081505,0.001
