epoch,train_loss,train_mae,train_rmse,train_mape,train_r2,val_loss,val_mae,val_rmse,val_mape,val_r2,learning_rate
0,1614.8993805453308,14.681704,40.67285,57.15354,0.5272354,1361.6040767669679,14.204552,36.870316,60.91601,0.5543298,0.0001
1,1549.7621200105064,13.910099,39.845135,52.51666,0.5462817,1325.57533493042,13.768457,36.380714,58.497574,0.5660873,0.0001
2,1491.2313137543508,13.09584,39.086952,47.413563,0.5633844,1273.3310791015624,12.933545,35.6573,50.32332,0.58317214,0.0001
3,1457.7888861762153,12.768003,38.647762,46.26483,0.5731411,1239.102628326416,12.610786,35.174862,46.821056,0.594375,0.0001
4,1428.1139136420356,12.546709,38.25195,46.087955,0.58183974,1215.9851066589356,12.7157955,34.84623,49.315132,0.60191894,0.0001
5,1404.3482644822861,12.41775,37.93384,47.09336,0.5887657,1213.3899604797364,12.971022,34.81093,50.186028,0.60272515,0.0001
6,1385.3805564163079,12.349372,37.677067,46.38935,0.5943142,1190.249429321289,12.522482,34.478527,48.60388,0.61027586,0.0001
7,1362.7795592087966,12.177237,37.368053,45.388145,0.6009415,1187.7630264282227,12.316701,34.443714,45.90161,0.61106247,0.0001
8,1343.3600154126812,11.992827,37.102867,44.718002,0.60658526,1178.0916030883789,12.191343,34.304016,47.153183,0.61421096,0.0001
9,1323.17921356462,11.916339,36.82303,45.039783,0.6124974,1160.358162689209,11.963268,34.045506,44.154366,0.6200036,0.0001
10,1311.899909255851,11.835476,36.666367,45.610508,0.6157876,1150.1064308166503,11.945876,33.89591,44.884354,0.6233357,0.0001
11,1294.7756110949394,11.720294,36.426888,45.656704,0.62079,1117.195574951172,11.794582,33.406677,45.26428,0.6341303,0.0001
12,1286.9895757691472,11.7413845,36.317112,45.86277,0.6230721,1123.1803565979003,11.936779,33.496082,45.060936,0.63216937,0.0001
13,1268.975786649264,11.605906,36.06129,45.32292,0.6283636,1109.1273572921752,12.033292,33.287903,48.02578,0.63672733,0.0001
14,1259.6575072524895,11.614095,35.929085,45.27536,0.6310836,1107.7632637023926,11.956134,33.26733,46.154232,0.63717616,0.0001
15,1248.955874809852,11.541386,35.776436,45.677612,0.6342118,1094.5206966400146,12.164831,33.068844,49.11693,0.64149284,0.0001
16,1239.5039697956836,11.572379,35.640392,45.611225,0.6369883,1088.1583190917968,11.762674,32.973007,44.436543,0.6435677,0.0001
17,1223.7934695186777,11.39191,35.413067,44.9883,0.6416044,1075.3971672058105,11.913537,32.77966,48.04692,0.6477356,0.0001
18,1216.2481998867459,11.472179,35.30417,45.35538,0.64380515,1070.8548278808594,11.602015,32.711132,45.542953,0.6492069,0.0001
19,1207.841473897298,11.378054,35.18359,45.70438,0.6462341,1066.6369060516358,11.605917,32.647133,46.340443,0.65057826,0.0001
20,1196.3676945939023,11.338133,35.01566,45.647293,0.6496031,1052.0400270462037,11.483968,32.422256,46.148933,0.6553753,0.0001
21,1180.720880524725,11.164647,34.786667,44.973965,0.6541711,1043.965564918518,11.62258,32.298813,48.090206,0.65799457,0.0001
22,1176.3067182883237,11.184938,34.72147,45.29042,0.6554662,1019.6361656188965,11.591175,31.919674,49.150856,0.6659767,0.0001
23,1169.8132712861411,11.14891,34.626278,44.925465,0.6573528,1015.6854286193848,11.707023,31.858212,50.02539,0.6672618,0.0001
24,1161.337620694413,11.084836,34.49931,44.99592,0.65986097,1019.6059711456298,11.871219,31.920504,50.49875,0.66595936,0.0001
25,1151.6325761517908,11.033134,34.354607,44.722153,0.66270834,1049.3247703552247,12.624247,32.383247,55.108494,0.6562041,0.0001
26,1146.5430394034101,11.146892,34.279182,44.797676,0.66418767,1002.3334344863891,11.4088125,31.649313,46.424824,0.67161113,0.0001
27,1142.308391701462,11.043657,34.214417,45.006165,0.6654555,1038.7646018981934,12.299714,32.22027,52.349136,0.6596559,0.0001
28,1124.5663274781316,10.961552,33.949875,44.437584,0.67060876,999.7202400207519,11.298643,31.609522,45.75737,0.67243636,0.0001
29,1114.342067196838,10.847729,33.793503,44.754635,0.6736361,1017.8826610565186,11.882424,31.897429,49.76512,0.6664421,0.0001
30,1109.1514187348196,10.871114,33.715702,44.358696,0.6751371,976.6163808822632,11.228894,31.243582,45.750366,0.67997676,0.0001
31,1099.64693591126,10.760994,33.571575,44.62869,0.67790866,978.345331954956,11.357155,31.27181,46.310192,0.6793982,0.0001
32,1089.6045429849216,10.686357,33.41856,44.395836,0.68083805,961.2694477081299,11.176445,30.998108,45.82738,0.6849857,0.0001
33,1083.0142844762559,10.687392,33.316555,44.35353,0.6827834,958.6290519714355,11.201487,30.954784,45.86881,0.68586564,0.0001
34,1072.5807595375256,10.651572,33.15493,44.08976,0.6858538,973.6929039001465,11.234511,31.199718,44.940723,0.6808747,0.0001
35,1067.1427273220486,10.605679,33.07249,43.78921,0.6874141,967.5480018615723,11.464392,31.100864,47.588844,0.68289375,0.0001
36,1060.2466611291609,10.60408,32.96435,43.990433,0.68945485,943.3447275161743,11.137592,30.709333,45.03344,0.6908276,0.0001
37,1070.048828255417,10.677396,33.11699,44.491222,0.6865723,946.0616439819336,11.34764,30.753769,45.125336,0.6899322,0.0001
38,1059.355296436538,10.658378,32.950836,44.160767,0.6897094,932.6285961151123,11.210285,30.535225,45.04801,0.6943234,0.0001
39,1048.7113146985698,10.526968,32.78531,43.824665,0.6928191,944.3531097412109,11.389158,30.72754,45.49173,0.6904609,0.0001
40,1041.7462452945547,10.544367,32.676613,44.208096,0.69485253,931.0629846572876,11.334773,30.508768,46.50845,0.69485295,0.0001
41,1032.1916342515212,10.445071,32.527294,43.702896,0.697635,942.5712905883789,11.31539,30.699266,44.946236,0.69103026,0.0001
42,1023.9412617316613,10.469889,32.39677,44.07594,0.70005673,926.4066305160522,11.114633,30.435232,44.9364,0.6963221,0.0001
43,1015.4507595290486,10.481081,32.260193,43.348656,0.70258045,957.1308547973633,11.170978,30.93799,43.658836,0.68620646,0.0001
