epoch,train_loss,train_mae,train_rmse,train_mape,train_r2,val_loss,val_mae,val_rmse,val_mape,val_r2,learning_rate,is_best_loss,is_best_r2
0,7192.90625,28.434313,81.106,77.509445,0.24236363,7790.5390625,28.54658,83.81451,77.38899,0.24895537,2.0000000000000002e-07,True,True
1,7191.53857421875,28.43043,81.09847,77.49815,0.2425043,7776.265625,28.420391,83.73406,77.06233,0.2503965,4.0000000000000003e-07,True,True
2,7180.78271484375,28.327381,81.03462,77.20968,0.24369651,7746.234375,28.1541,83.56495,76.32341,0.2534213,6.000000000000001e-07,True,True
3,7152.8251953125,28.090078,80.87095,76.49581,0.24674857,7693.8681640625,27.70169,83.27043,74.935135,0.25867438,8.000000000000001e-07,True,True
4,7106.7861328125,27.698555,80.60202,75.222916,0.25175005,7607.36572265625,27.08133,82.78664,73.155235,0.26726347,1.0000000000000002e-06,True,True
5,7023.18310546875,27.133728,80.11353,73.570015,0.26079202,7506.6376953125,26.499706,82.223885,72.17086,0.27719146,1.2000000000000002e-06,True,True
6,6932.03369140625,26.590893,79.58072,72.60626,0.2705919,7408.51416015625,26.067978,81.6753,72.43319,0.28680414,1.4000000000000001e-06,True,True
7,6840.00732421875,26.180227,79.039375,72.96343,0.2804817,7326.08447265625,25.918106,81.214966,74.616936,0.2948208,1.6000000000000001e-06,True,True
8,6765.78759765625,26.01925,78.6026,75.050064,0.28841197,7262.03271484375,26.014868,80.85942,78.052795,0.30098164,1.8000000000000001e-06,True,True
9,6704.19384765625,26.057928,78.23966,78.240425,0.29496807,7213.38037109375,26.26926,80.59272,81.99516,0.30558515,2.0000000000000003e-06,True,True
10,6655.94921875,26.234741,77.95737,81.89413,0.30004662,7178.84375,26.61715,80.407295,86.05976,0.30877692,2.2e-06,True,True
11,6620.8642578125,26.503881,77.75408,85.67917,0.30369216,7154.66650390625,27.003786,80.28141,89.98477,0.31093955,2.4000000000000003e-06,True,True
12,6597.37109375,26.820679,77.61984,89.41646,0.30609453,7137.41943359375,27.395128,80.19526,93.60523,0.31241763,2.5999999999999997e-06,True,True
13,6578.78369140625,27.140623,77.51432,92.85043,0.30797988,7124.76318359375,27.761948,80.13497,96.82024,0.31345105,2.8000000000000003e-06,True,True
14,6565.92822265625,27.449408,77.444,95.91676,0.30923486,7114.48046875,28.08169,80.08694,99.52849,0.31427383,3.0000000000000005e-06,True,True
15,6556.48388671875,27.716265,77.39255,98.52561,0.31015247,7104.75,28.34117,80.04058,101.67781,0.3150674,3.2000000000000003e-06,True,True
16,6548.8623046875,27.94211,77.352776,100.63162,0.3108613,7094.48974609375,28.529888,79.98895,103.24198,0.3159507,3.4000000000000005e-06,True,True
17,6542.92529296875,28.105059,77.31964,102.18868,0.31145155,7082.34228515625,28.642323,79.92417,104.212906,0.31705827,3.6000000000000003e-06,True,True
18,6532.41943359375,28.196896,77.25883,103.17196,0.31253427,7066.90966796875,28.672596,79.83838,104.58492,0.3185237,3.8000000000000005e-06,True,True
19,6519.2900390625,28.217695,77.181114,103.598404,0.31391668,7046.8125,28.612932,79.7233,104.30503,0.32048684,4.000000000000001e-06,True,True
20,6501.25,28.144688,77.07188,103.3488,0.31585723,7024.7197265625,28.490328,79.59481,103.5339,0.32267535,4.2000000000000004e-06,True,True
21,6480.78466796875,28.01081,76.947136,102.61587,0.31807005,7001.52099609375,28.320234,79.45853,102.42274,0.32499284,4.4e-06,True,True
22,6460.9296875,27.827364,76.82397,101.55339,0.32025135,6978.15771484375,28.12091,79.32004,101.140526,0.32734376,4.600000000000001e-06,True,True
23,6439.14306640625,27.61854,76.68912,100.34008,0.3226357,6955.4970703125,27.907547,79.184845,99.76272,0.32963473,4.800000000000001e-06,True,True
24,6418.306640625,27.3951,76.55933,99.05945,0.32492638,6933.3291015625,27.698866,79.05206,98.45964,0.33188105,5e-06,True,True
25,6398.60986328125,27.171164,76.43603,97.76096,0.32709908,6912.53466796875,27.498497,78.927444,97.19752,0.33398587,5.199999999999999e-06,True,True
26,6379.09716796875,26.960255,76.31498,96.53701,0.32922876,6893.13037109375,27.316446,78.81158,96.01216,0.33593988,5.400000000000002e-06,True,True
27,6360.32373046875,26.76201,76.197845,95.32353,0.3312863,6874.82568359375,27.161695,78.703354,94.968155,0.33776242,5.600000000000001e-06,True,True
28,6346.64306640625,26.587767,76.11132,94.2167,0.33280414,6857.1298828125,27.03128,78.599785,94.04573,0.33950412,5.8e-06,True,True
29,6330.63623046875,26.43068,76.01283,93.17695,0.33452964,6838.64404296875,26.922123,78.49263,93.23075,0.34130388,6.000000000000001e-06,True,True
30,6314.4990234375,26.285498,75.91352,92.20227,0.33626753,6820.6416015625,26.84096,78.38897,92.578636,0.3430425,6.200000000000002e-06,True,True
31,6296.26025390625,26.162687,75.80189,91.35717,0.33821815,6802.53466796875,26.776611,78.28511,92.02994,0.3447821,6.4000000000000006e-06,True,True
32,6279.9248046875,26.049873,75.70171,90.58438,0.339966,6783.3251953125,26.714596,78.17438,91.51155,0.34663445,6.600000000000001e-06,True,True
33,6264.21630859375,25.944094,75.60447,89.81385,0.34166068,6762.31201171875,26.648102,78.05251,91.02519,0.34866995,6.800000000000001e-06,True,True
34,6243.6513671875,25.829208,75.47794,89.03116,0.3438624,6740.72998046875,26.57662,77.92685,90.55334,0.3507656,7e-06,True,True
35,6224.59619140625,25.712996,75.35917,88.30554,0.3459258,6719.34326171875,26.51745,77.80219,90.26681,0.35284102,7.2000000000000005e-06,True,True
36,6200.56005859375,25.605515,75.21056,87.76646,0.34850293,6698.73779296875,26.475264,77.68189,90.18736,0.35484082,7.4e-06,True,True
37,6177.4501953125,25.522884,75.06752,87.554695,0.35097867,6678.86962890625,26.447128,77.56601,90.25754,0.3567642,7.600000000000001e-06,True,True
38,6154.75341796875,25.463833,74.92662,87.593994,0.3534128,6659.99072265625,26.431246,77.45575,90.41154,0.35859156,7.800000000000002e-06,True,True
39,6132.3447265625,25.413437,74.78649,87.740974,0.355829,6640.4384765625,26.398666,77.34119,90.34545,0.36048758,8.000000000000001e-06,True,True
40,6106.734375,25.351707,74.62694,87.76948,0.35857463,6620.6640625,26.33224,77.22425,89.87511,0.3624199,8.2e-06,True,True
41,6078.8486328125,25.252048,74.45245,87.41408,0.36157066,6599.57177734375,26.216347,77.09824,88.85167,0.36449885,8.400000000000001e-06,True,True
42,6053.88671875,25.114408,74.29452,86.57561,0.3642763,6574.4423828125,26.046135,76.94712,87.23348,0.36698782,8.6e-06,True,True
43,6023.6650390625,24.913866,74.10319,85.07105,0.3675465,6544.0322265625,25.836845,76.763374,85.13757,0.37000746,8.8e-06,True,True
44,5992.40771484375,24.680397,73.90396,83.04427,0.37094253,6506.29248046875,25.614832,76.53456,82.953896,0.37375754,9e-06,True,True
45,5960.01171875,24.448782,73.69725,80.8962,0.37445676,6458.64404296875,25.394648,76.24406,81.158585,0.37850255,9.200000000000002e-06,True,True
46,5923.9931640625,24.238708,73.46518,79.163826,0.37839007,6399.84716796875,25.142042,75.88395,79.73987,0.38435948,9.4e-06,True,True
47,5879.8388671875,24.063889,73.18109,78.14095,0.38318825,6338.69921875,24.87869,75.50822,78.672226,0.390441,9.600000000000001e-06,True,True
48,5839.08544921875,23.903952,72.91705,77.51099,0.38763118,6282.85400390625,24.662697,75.16562,77.98909,0.39595985,9.800000000000003e-06,True,True
49,5801.02978515625,23.776348,72.66893,77.18162,0.39179158,6228.7314453125,24.488188,74.83545,77.23363,0.40125477,1e-05,True,True
50,5761.3349609375,23.614622,72.41154,76.51165,0.39609265,6178.76708984375,24.341274,74.53255,76.17871,0.40609193,9.999999938931822e-06,True,True
51,5720.20361328125,23.415075,72.14502,75.34768,0.40052992,6136.56494140625,24.231874,74.27842,75.33451,0.41013497,9.999999755727293e-06,True,True
52,5676.4638671875,23.244234,71.86115,74.42319,0.4052381,6099.93701171875,24.151667,74.05973,75.273735,0.41360313,9.999999450386417e-06,True,True
53,5637.8037109375,23.110415,71.61028,74.32504,0.40938348,6070.11572265625,24.129477,73.88445,76.16828,0.41637558,9.999999022909197e-06,True,True
54,5600.63818359375,23.045515,71.36896,75.14275,0.41335744,6039.52099609375,24.119425,73.70282,77.02056,0.4192416,9.999998473295647e-06,True,True
55,5569.63232421875,23.011988,71.16782,75.96167,0.41665936,6002.724609375,24.033384,73.47501,76.798645,0.42282617,9.999997801545783e-06,True,True
56,5537.89599609375,22.900225,70.96027,75.621735,0.42005682,5959.7880859375,23.91918,73.20317,76.268906,0.42708904,9.999997007659618e-06,True,True
57,5499.4453125,22.761385,70.70644,74.98163,0.4241985,5916.24609375,23.84347,72.92603,76.33515,0.43141878,9.999996091637172e-06,True,True
58,5467.29638671875,22.684057,70.4906,75.16477,0.42770863,5875.419921875,23.767738,72.66633,76.40598,0.43546128,9.999995053478467e-06,True,True
59,5439.0517578125,22.614513,70.299934,75.53028,0.43080032,5838.4970703125,23.619213,72.43131,75.459045,0.43910694,9.999993893183532e-06,True,True
60,5401.8642578125,22.478481,70.053246,75.01434,0.43478805,5805.94873046875,23.493448,72.2289,74.57713,0.44223756,9.999992610752394e-06,True,True
61,5371.74609375,22.352482,69.85036,74.61366,0.43805718,5774.7861328125,23.434313,72.03709,75.024025,0.44519597,9.999991206185083e-06,True,True
62,5341.68603515625,22.307364,69.65095,75.55199,0.4412611,5735.77978515625,23.351376,71.79451,74.92773,0.4489262,9.999989679481635e-06,True,True
63,5315.22802734375,22.200478,69.47331,75.391884,0.4441074,5699.65283203125,23.237646,71.56496,74.20219,0.4524445,9.999988030642087e-06,True,True
64,5280.33349609375,22.032696,69.2358,74.12732,0.44790184,5652.35693359375,23.20726,71.264336,75.339165,0.45703506,9.99998625966648e-06,True,True
65,5248.8017578125,21.953785,69.02039,74.53011,0.45133185,5612.5498046875,23.055069,71.00799,74.58254,0.46093422,9.999984366554858e-06,True,True
66,5219.40380859375,21.744963,68.81685,73.00178,0.45456332,5574.765625,22.955664,70.7658,75.13327,0.4646052,9.999982351307269e-06,True,True
67,5189.83935546875,21.63184,68.61387,73.132454,0.45777613,5538.16650390625,22.872875,70.534096,75.504036,0.46810544,9.999980213923759e-06,True,True
68,5161.392578125,21.489376,68.41903,72.93207,0.4608512,5502.87353515625,22.686499,70.30952,74.12335,0.47148716,9.999977954404385e-06,True,True
69,5136.927734375,21.30053,68.25091,71.348976,0.46349758,5464.74951171875,22.758955,70.069954,77.571335,0.47508258,9.9999755727492e-06,True,True
70,5107.7265625,21.340998,68.04938,74.379875,0.4666612,5443.57666015625,22.323421,69.92864,70.84881,0.47719765,9.999973068958262e-06,True,True
71,5096.1357421875,21.057302,67.97638,68.36391,0.46780485,5405.0380859375,22.882113,69.67179,81.72993,0.48103118,9.999970443031634e-06,True,True
72,5074.9521484375,21.43533,67.81735,77.00041,0.47029203,5388.32958984375,22.190956,69.56946,70.337685,0.48255455,9.999967694969383e-06,True,True
73,5047.29833984375,20.822378,67.636154,67.52056,0.4731189,5332.19970703125,21.923416,69.18949,71.694275,0.4881913,9.999964824771574e-06,True,True
74,5009.8271484375,20.600483,67.37109,68.779144,0.47724038,5311.64404296875,22.384422,69.049835,79.24217,0.49025542,9.999961832438279e-06,True,True
75,5011.44921875,21.113138,67.374054,75.97032,0.4771945,5318.2001953125,21.67526,69.121284,67.023224,0.48919988,9.999958717969574e-06,False,False
76,4977.12353515625,20.3745,67.15455,65.31038,0.48059553,5267.23583984375,21.546036,68.77676,68.94859,0.49427927,9.99995548136553e-06,True,True
77,4938.32177734375,20.193094,66.87738,66.435905,0.48487413,5233.7666015625,22.201916,68.538864,79.60857,0.4977718,9.999952122626232e-06,True,True
78,4939.3525390625,20.800947,66.87115,75.28279,0.48497015,5215.83056640625,21.401354,68.43322,68.245026,0.49931878,9.99994864175176e-06,True,True
79,4890.0,20.020432,66.53712,65.6884,0.4901026,5202.7568359375,21.422352,68.35902,67.74357,0.500404,9.999945038742201e-06,True,True
80,4880.10693359375,19.963564,66.471214,64.68925,0.49111223,5144.71728515625,21.75971,67.95817,76.72882,0.506246,9.999941313597644e-06,True,True
81,4848.408203125,20.19002,66.23849,71.82619,0.49466938,5116.23486328125,21.447123,67.76385,73.67215,0.5090656,9.999937466318182e-06,True,True
82,4819.82763671875,19.901468,66.037285,69.3276,0.4977346,5130.13525390625,21.17386,67.8741,67.25532,0.5074668,9.999933496903905e-06,False,False
83,4806.31884765625,19.597916,65.95461,63.78609,0.49899137,5078.7255859375,21.287212,67.52062,71.92613,0.5125835,9.999929405354918e-06,True,True
84,4771.20068359375,19.584877,65.69813,67.271385,0.50288045,5046.28564453125,21.438768,67.28748,75.73538,0.5159437,9.999925191671319e-06,True,True
85,4765.58837890625,19.792095,65.65079,70.27433,0.5035967,5034.52734375,20.825708,67.22074,66.979324,0.5169034,9.99992085585321e-06,True,True
86,4730.763671875,19.223436,65.416374,62.963547,0.5071353,5004.47412109375,21.02894,67.01861,69.87771,0.5198045,9.999916397900702e-06,True,True
87,4711.1259765625,19.29839,65.27331,65.32815,0.50928867,4955.23681640625,21.136541,66.667366,74.904755,0.52482456,9.999911817813901e-06,True,True
