step,epoch,loss,grad_norm,was_spike,lr_factor
1,0,7192.90625,3067.4543844365044,False,0.02
11,10,6655.94921875,3198.836488416664,True,0.22
21,20,6501.25,3346.665127501837,True,0.42
31,30,6314.4990234375,2726.6675888121204,True,0.62
41,40,6106.734375,2622.159732730975,True,0.82
51,50,5761.3349609375,2869.7660217445027,True,0.9999999938931822
61,60,5401.8642578125,2394.571333164115,True,0.9999992610752394
71,70,5107.7265625,2772.9248645597736,True,0.9999973068958261
81,80,4880.10693359375,3409.2582361468835,True,0.9999941313597643
91,90,4640.72607421875,3104.2303874100435,True,0.9999897344748894
101,100,4451.16552734375,2972.3321928428545,True,0.99998411625205
111,110,4296.8720703125,3405.9523595487767,True,0.9999772767051088
121,120,4223.34326171875,3173.300768856413,True,0.9999692158509416
131,130,4061.585693359375,3439.971731586897,True,0.9999599337094376
141,140,3924.581298828125,3396.169936509483,True,0.9999494303034997
151,150,3818.974365234375,4070.7920112039283,True,0.999937705659044
161,160,3696.74072265625,3309.0808895630894,True,0.999924759805
171,170,3595.165771484375,2901.843547721931,True,0.9999105927733101
181,180,3544.214599609375,3789.8453553171125,True,0.9998952045989302
191,190,3483.26416015625,4344.622853172265,True,0.9998785953198289
201,200,3386.772216796875,3298.303878640788,True,0.9998607649769882
211,210,3290.623046875,3356.471974827001,True,0.9998417136144025
221,220,3209.995361328125,4053.2688877128594,True,0.9998214412790792
231,230,3163.474853515625,3232.2823885823113,True,0.9997999480210384
241,240,3070.470703125,3418.997218421725,True,0.9997772338933125
251,250,2994.863525390625,3010.289845441967,True,0.9997532989519462
261,260,2923.832763671875,3059.7029759774246,True,0.9997281432559968
271,270,2848.470458984375,3280.429798133983,True,0.9997017668675333
281,280,2800.501220703125,3208.7669621018536,True,0.9996741698516369
291,290,2752.744384765625,3863.4714155731804,True,0.9996453522764005
301,300,2727.187744140625,3284.9976285521025,True,0.9996153142129288
311,310,2651.08935546875,3961.307652292662,True,0.9995840557353374
321,320,2859.1484375,5321.140003197639,True,0.9995515769207536
