epoch,train_loss,train_mae,train_rmse,train_mape,train_r2,val_loss,val_mae,val_rmse,val_mape,val_r2,learning_rate
0,1660.4962805723533,15.135438,41.242043,57.15278,0.51391083,1416.5279331207275,14.466781,37.605446,55.47042,0.53638077,0.0001
1,1632.0765950129583,14.4609995,40.889004,50.377285,0.5221972,1392.310269165039,13.807806,37.282776,49.269085,0.5443028,0.0001
2,1606.4929074344473,13.955192,40.56843,46.992264,0.52965987,1371.2435054779053,13.386532,36.99983,47.854073,0.55119336,0.0001
3,1585.6585724333413,13.616276,40.305206,46.579803,0.53574353,1353.4857898712157,13.067914,36.759575,47.316757,0.5570029,0.0001
4,1567.346280709291,13.407217,40.072243,47.334682,0.5410949,1337.112190246582,12.915153,36.536568,48.341213,0.5623616,0.0001
5,1554.2712304204956,13.3356695,39.905136,48.89905,0.54491425,1326.6922718048095,12.903589,36.393932,50.297226,0.56577194,0.0001
6,1543.3681369031597,13.309452,39.765213,50.39887,0.5481001,1318.4947967529297,12.897802,36.281284,51.832653,0.5684558,0.0001
7,1535.8215978899573,13.292315,39.668,51.597256,0.5503069,1310.9511543273925,12.892009,36.17731,53.11382,0.57092583,0.0001
8,1528.377828027448,13.271529,39.571922,52.43379,0.5524826,1304.865518951416,12.878604,36.093224,53.915874,0.57291806,0.0001
9,1522.037958194048,13.243415,39.489822,52.878166,0.5543376,1300.8031951904297,12.8667145,36.036617,54.294403,0.57425666,0.0001
10,1515.9239501953125,13.214603,39.410385,53.18024,0.55612874,1294.1522762298584,12.855391,35.944557,54.767372,0.576429,0.0001
11,1510.304279262184,13.180036,39.33743,53.2169,0.5577706,1290.3444450378418,12.834923,35.891434,54.873993,0.5776802,0.0001
12,1505.2071052616477,13.1526375,39.271057,53.313595,0.5592616,1287.4318508148194,12.812059,35.850716,54.608883,0.57863784,0.0001
13,1500.3413144625151,13.121319,39.207577,53.196823,0.5606854,1283.3636596679687,12.792385,35.79407,54.67472,0.57996833,0.0001
14,1495.362564217331,13.0857315,39.14246,53.228115,0.56214345,1279.44398727417,12.783395,35.739246,54.738106,0.581254,0.0001
15,1490.5318049569414,13.057284,39.07933,53.2309,0.56355464,1274.9604766845703,12.761283,35.676434,54.57142,0.58272463,0.0001
16,1486.011915549254,13.036561,39.01991,52.928688,0.56488085,1271.8045066833497,12.709747,35.63219,53.861816,0.5837589,0.0001
17,1481.4170458540957,12.978914,38.959595,52.480843,0.566225,1268.838052368164,12.689537,35.590637,53.350586,0.5847292,0.0001
18,1476.2964742611616,12.923528,38.89212,51.674576,0.5677262,1264.0883277893067,12.652754,35.523857,52.720642,0.58628607,0.0001
