epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2
1,6406.339382688751,29.269808,80.03961,-0.13997102,5085.725970290905,25.17995,71.31427,-0.12266517
2,6291.6225992838545,27.931366,79.31975,-0.11955774,4991.508025152803,24.058247,70.650604,-0.10186684
3,6179.985462001358,26.787548,78.612885,-0.09969258,4894.294228839954,22.915173,69.959236,-0.08040702
4,6065.336890000179,25.761404,77.88028,-0.07929158,4798.755866357867,22.259136,69.273056,-0.05931723
5,5953.353466381181,25.423817,77.157974,-0.059364676,4709.968515742151,22.105137,68.62921,-0.039717436
6,5851.282047134329,25.546545,76.493675,-0.04120171,4637.919428237574,22.470247,68.10227,-0.02381277
7,5768.791397504426,26.035698,75.95256,-0.026522875,4585.282141639161,23.056257,67.714714,-0.012193203
8,5716.81600702332,26.690733,75.60963,-0.01727426,4558.9880940399335,23.708075,67.52028,-0.0063887835
9,5686.87823730149,26.334497,75.41139,-0.011946917,4566.2437988252395,22.459175,67.57399,-0.0079904795
10,5609.747820641219,25.407389,74.898254,0.001777947,4534.932193865661,21.761059,67.34191,-0.0010786057
11,5560.194198998112,25.35712,74.5667,0.0105957985,4486.6509071731525,21.960756,66.98247,0.00957942
12,5533.948974249639,25.227322,74.39052,0.015265882,4485.7142748339575,21.734022,66.97548,0.009786308
13,5496.761564143592,25.305481,74.14015,0.02188319,4434.853175390614,21.971317,66.59469,0.021013796
14,5438.5437545326695,25.110516,73.74648,0.032242656,4399.989905383172,22.259026,66.33242,0.02870977
15,5402.55131497786,25.022053,73.50205,0.038647354,4371.306191167909,22.603521,66.11585,0.03504169
16,5361.929576781347,25.01654,73.2252,0.045875728,4360.504204857703,22.546564,66.03411,0.037426233
17,5337.074251326066,24.99421,73.05528,0.05029857,4365.980214355093,21.937542,66.07556,0.03621745
18,5314.359515656657,25.033066,72.89966,0.05434048,4328.996277115162,22.97859,65.79511,0.04438144
19,5283.88607126572,24.978672,72.690346,0.059763134,4330.3150440825175,22.5702,65.80512,0.04409051
20,5266.807330837887,24.9867,72.57278,0.062802196,4351.707851404953,21.90201,65.967476,0.039368093
21,5251.316951569343,24.940994,72.46597,0.06555855,4330.211241312391,22.000618,65.804344,0.04411322
22,5221.004680960805,24.762701,72.256516,0.070952535,4321.364238746678,22.004429,65.73708,0.046066225
23,5199.576113318023,24.726427,72.108086,0.07476568,4295.346421660493,22.147194,65.53889,0.05180973
