epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2
1,6399.791572615768,29.187147,79.9987,-0.13880575,5081.048476002428,25.117592,71.28147,-0.121632695
2,6285.0776965547875,27.87,79.27849,-0.11839318,4985.970194587667,23.994629,70.611404,-0.10064447
3,6172.558828257703,26.714954,78.565636,-0.09837115,4886.819537719251,22.827238,69.90579,-0.07875705
4,6056.175044511297,25.71543,77.82143,-0.07766104,4789.3830575170905,22.235298,69.20537,-0.057248116
5,5942.280489,25.414139,77.08619,-0.057394266,4699.610673502932,22.087292,68.5537,-0.037430882
6,5838.947942487695,25.600294,76.41301,-0.03900695,4627.873873046183,22.547068,68.02847,-0.02159524
7,5756.87113,26.159685,75.87405,-0.024401784,4577.961414567546,23.216928,67.66064,-0.010577083
8,5701.578647975759,26.451597,75.5088,-0.014562726,4594.0042511732945,22.56299,67.77908,-0.014118552
9,5643.375739176912,25.58832,75.122406,-0.004205823,4529.973547975725,22.130564,67.30508,1.6152859e-05
10,5564.927603511148,25.181702,74.59844,0.009753466,4484.804468087955,21.810564,66.96868,0.009987056
11,5501.802895096915,24.97637,74.17414,0.02098614,4424.867688563935,21.722721,66.519684,0.023217976
12,5427.848044644638,24.608658,73.67393,0.03414601,4370.733930448228,21.620438,66.11153,0.035167992
13,5372.1598414412965,24.395445,73.29502,0.044055343,4343.039260945412,21.626307,65.90174,0.04128152
14,5325.200251751034,24.417517,72.97397,0.052411497,4308.549440835444,21.345985,65.63954,0.04889512
15,5282.772928194197,24.216053,72.682686,0.0599612,4286.393769774929,21.178356,65.47056,0.05378598
16,5234.112929,23.957363,72.34717,0.068620026,4261.249278081279,21.439814,65.278244,0.059336603
17,5187.769672766025,23.82317,72.02617,0.07686651,4234.464977445198,20.9684,65.07277,0.065249026
18,5148.848216638272,23.675678,71.75548,0.08379233,4212.215018566922,20.855686,64.90158,0.070160866
19,5104.591663193219,23.46523,71.44643,0.09166759,4203.695715165395,20.653196,64.83591,0.07204145
20,5061.558389160316,23.154331,71.14463,0.099325,4166.872537223149,20.81572,64.551315,0.080170035
21,5015.999548571674,22.915167,70.82372,0.10743201,4151.915294070572,20.449055,64.435356,0.083471835
22,4971.645141061959,22.605886,70.509895,0.11532462,4109.3678355034945,20.401123,64.10435,0.092864156
23,4925.150047796883,22.37237,70.17941,0.12359816,4101.244618504088,20.721748,64.04096,0.09465724
24,4896.4079480124365,22.325289,69.97434,0.1287126,4075.291693,20.020151,63.838017,0.1003862
25,4859.995143,22.039679,69.71366,0.13519216,4045.1846024729994,19.821367,63.601765,0.10703254
26,4827.233066741204,22.003757,69.478294,0.1410219,4006.974751685165,19.80785,63.300667,0.11546725
