epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2
1,6409.139239298103,29.292473,80.0571,-0.14046907,5092.233710116436,25.266459,71.359886,-0.12410176
2,6297.488894799213,28.002954,79.35672,-0.120601654,4995.908780805694,24.108547,70.68174,-0.10283828
3,6182.825083874376,26.821735,78.63094,-0.10019779,4895.013368697415,22.923569,69.96437,-0.08056581
4,6063.837880592371,25.752855,77.87064,-0.07902467,4795.500428944922,22.25091,69.24955,-0.0585984
5,5946.993286292695,25.413797,77.116745,-0.058232903,4703.61827577754,22.094265,68.58293,-0.038315654
6,5841.823948068874,25.582191,76.43182,-0.039518595,4630.071595129174,22.529758,68.04463,-0.022080302
7,5759.334525257603,26.135181,75.89028,-0.024840117,4578.461608349297,23.207987,67.66433,-0.01068759
8,5706.102250754326,26.812418,75.53874,-0.015367746,4555.28292276797,23.815899,67.492836,-0.0055708885
9,5678.233010322656,26.452839,75.35405,-0.01040864,4565.672971331641,23.098194,67.56976,-0.007864356
10,5647.629653181215,26.454191,75.15071,-0.004962802,4547.471267391809,23.18978,67.434944,-0.003846407
11,5620.228932998348,26.52678,74.968185,-8.714199e-05,4535.7632588795805,23.031162,67.348076,-0.0012619495
12,5555.1033397941865,25.518991,74.53256,0.01150167,4451.979480685248,22.47258,66.72315,0.017233133
13,5507.508253495991,25.584013,74.21259,0.019970775,4436.02431055305,23.118855,66.603485,0.020755172
14,5463.085314837483,25.475166,73.91269,0.027875602,4422.659203965223,22.453728,66.503075,0.023705661
15,5443.813142847687,25.789095,73.782196,0.031305134,4396.330574864319,23.259205,66.30483,0.029517591
16,5405.050632319422,25.494467,73.51905,0.038202643,4444.17552593174,21.9752,66.66465,0.018955886
17,5413.310474488184,26.010077,73.5752,0.036732852,4395.4176681513145,22.328403,66.29795,0.029718995
18,5390.6386962171155,25.386396,73.42097,0.040767133,4452.369069793633,21.880932,66.726074,0.017147243
19,5392.864438599672,25.870523,73.43613,0.040371,4396.526353964779,22.025354,66.30631,0.029474318
20,5354.061627201263,25.804117,73.171455,0.04727584,4373.881722043922,22.301546,66.13532,0.03447318
21,5338.279810337749,25.709574,73.06353,0.050084114,4346.926927962155,22.465189,65.93122,0.040423453
22,5304.692780520296,25.751198,72.83332,0.05606067,4336.2142730413525,22.481096,65.84994,0.042788267
23,5299.926430972636,25.575516,72.80059,0.056908846,4342.778314130355,22.319592,65.89976,0.0413391
24,5270.705525436351,25.384943,72.599625,0.062108576,4331.698317639245,22.351688,65.815636,0.043785155
25,5271.414692597055,25.799574,72.60451,0.061982334,4326.4085972962575,22.474293,65.775444,0.04495269
26,5246.9320419701235,25.508448,72.43571,0.066339016,4344.072325924359,22.168272,65.90958,0.041053414
27,5277.0246315826835,25.982283,72.643135,0.060984075,4327.847669133676,22.379269,65.78638,0.044635057
28,5225.752401115852,25.32497,72.28937,0.0701077,4287.427380052248,22.830229,65.478455,0.053557754
29,5189.670255549842,25.1541,72.03936,0.07652837,4307.6639883503285,22.292393,65.6328,0.049090624
30,5201.9389198767885,25.406199,72.124466,0.07434511,4286.358363176911,22.513563,65.47028,0.05379373
31,5180.880488407557,25.277807,71.97833,0.078092396,4270.232902625142,22.703278,65.347015,0.057353437
32,5150.276810681656,25.173382,71.76543,0.083538115,4261.360401293781,22.68379,65.2791,0.059311986
33,5136.092809870732,25.053246,71.66654,0.08606213,4267.927353880927,22.499924,65.32938,0.0578624
34,5131.33403267951,25.175531,71.63333,0.08690888,4257.74814837904,22.726831,65.25142,0.060109377
35,5111.571009887615,25.024073,71.495255,0.09042561,4258.055083272699,22.499187,65.25377,0.060041785
36,5104.346362740367,25.079468,71.44471,0.09171116,4251.054869162728,22.61139,65.20012,0.061586916
37,5087.32114752649,25.028091,71.32546,0.09474069,4239.014583413165,22.650164,65.10772,0.06424475
38,5075.695958085676,25.004034,71.24391,0.09680945,4243.509872532105,22.44446,65.14223,0.06325251
39,5057.901473669266,25.08156,71.11893,0.099975765,4252.874284743136,22.343197,65.214066,0.06118536
40,5069.338542566006,24.96749,71.19929,0.097940624,4234.28955200758,22.765764,65.07142,0.06528783
41,5015.109537040946,24.541296,70.81744,0.10759038,4215.274005456619,22.813293,64.92515,0.069485426
42,5009.168473359254,24.788284,70.77548,0.108647466,4219.712235090397,22.271313,64.95931,0.06850582
43,5034.112679711962,24.671408,70.951485,0.10420889,4191.519576523211,22.243895,64.74194,0.07472932
44,5015.202441242371,25.191374,70.81809,0.10757387,4215.4172455760945,21.95955,64.92624,0.069453895
