epoch,train_loss,train_mae,train_rmse,train_mape,train_r2,val_loss,val_mae,val_rmse,val_mape,val_r2,learning_rate
0,2637.124811490377,17.431894,51.955868,60.421963,0.5196552,2302.3897840711807,16.466246,49.7747,58.55534,0.4530915,0.0001
1,2572.807452837626,16.897316,51.321476,57.540226,0.5313139,2253.3751118977866,16.132017,49.250378,56.77774,0.464553,0.0001
2,2517.923061211904,16.380894,50.77386,54.44586,0.5412625,2221.787156846788,15.801767,48.923107,54.802315,0.47164547,0.0001
3,2478.03435309728,15.9490795,50.37189,51.616947,0.5484973,2199.912055121528,15.552744,48.680683,51.75587,0.47686875,0.0001
4,2447.172069867452,15.67417,50.05895,50.018925,0.5540899,2161.1036241319443,15.127031,48.273205,50.42272,0.48558974,0.0001
5,2416.911214987437,15.401226,49.74933,48.0606,0.5595889,2149.120612250434,15.017182,48.142593,50.74522,0.48836958,0.0001
6,2395.67440366745,15.176509,49.532078,48.0259,0.563427,2132.6800604926216,14.778871,47.959244,48.16552,0.49225926,0.0001
7,2361.8333028157554,14.881861,49.182156,47.288902,0.5695735,2101.0296020507812,14.661487,47.61502,49.474346,0.49952167,0.0001
8,2352.4700469970703,14.861755,49.085697,46.856045,0.5712602,2087.435546875,14.630631,47.46293,50.120647,0.5027138,0.0001
9,2326.3611777623496,14.562807,48.813435,46.0039,0.57600325,2071.5926411946616,14.523877,47.29052,50.441444,0.50632,0.0001
10,2310.0776465733848,14.500919,48.64283,46.621258,0.57896185,2080.910730997721,14.897436,47.39567,52.63066,0.50412214,0.0001
11,2295.4916602770486,14.47401,48.48991,47.04199,0.58160496,2072.4396311442056,15.073087,47.292984,53.605045,0.5062686,0.0001
12,2283.3515721956887,14.401118,48.362225,47.3621,0.58380544,2056.644010755751,15.014162,47.11516,53.36947,0.5099745,0.0001
13,2268.462639490763,14.248935,48.20506,46.39742,0.5865061,2042.0485093858506,14.624128,46.945972,49.53508,0.51348746,0.0001
14,2259.795874118805,14.313886,48.112,47.552807,0.58810115,2049.6275244818794,14.344803,47.03106,46.207504,0.5117223,0.0001
15,2258.0302106539407,14.359147,48.095203,49.482567,0.5883886,2018.0814005533855,14.234874,46.68096,47.468563,0.51896477,0.0001
16,2237.7860310872397,14.190319,47.87978,47.67033,0.5920677,2001.7840287950303,14.133014,46.49044,47.314716,0.5228833,0.0001
17,2225.3614939053855,14.0405655,47.746796,45.980976,0.59433055,1999.8069441053603,14.118754,46.47159,47.841446,0.52327013,0.0001
18,2208.710335890452,14.034602,47.56834,46.531067,0.5973573,1990.8904825846355,14.018283,46.3615,45.950577,0.52552617,0.0001
19,2190.9938621520996,13.949746,47.377697,46.954773,0.6005783,1965.7469499376084,14.341904,46.061966,50.513275,0.5316373,0.0001
20,2191.697041193644,14.02021,47.3858,46.124702,0.60044163,1963.3182966444228,14.528031,46.02887,51.990276,0.5323101,0.0001
21,2172.3923602104187,13.886115,47.1769,47.201366,0.6039568,1967.3661821153428,14.2525215,46.07826,48.36371,0.5313059,0.0001
22,2171.027613004049,13.985064,47.162228,48.711945,0.604203,1974.302990383572,14.435046,46.15631,48.415466,0.52971673,0.0001
23,2162.661873181661,13.937492,47.07232,48.076244,0.6057107,1930.7337392171223,14.14377,45.6306,49.186306,0.5403686,0.0001
24,2157.306718190511,13.832286,47.013985,46.38492,0.6066873,1929.5713144938152,14.092821,45.625416,49.741917,0.54047304,0.0001
25,2132.039524714152,13.729704,46.735874,47.157143,0.6113268,1936.7955644395615,13.875821,45.71953,46.562805,0.53857535,0.0001
26,2128.6807095209756,13.681677,46.70154,47.546097,0.61189765,1915.4911346435547,14.031497,45.45306,49.036392,0.54393834,0.0001
27,2122.724227746328,13.651924,46.636,46.42321,0.6129862,1894.2220916748047,14.182662,45.177395,50.949757,0.5494534,0.0001
28,2111.773239930471,13.673548,46.5152,47.167862,0.61498857,1906.4462093777126,13.745374,45.357166,45.230057,0.5458606,0.0001
29,2101.469856739044,13.496753,46.402966,46.73703,0.6168443,1888.6492072211372,13.696518,45.134544,45.508564,0.5503077,0.0001
30,2087.482269128164,13.442663,46.248684,46.06944,0.619388,1876.2196265326606,14.188473,44.972847,50.523357,0.553524,0.0001
31,2080.620145638784,13.475494,46.173298,46.515446,0.6206277,1875.2033793131511,14.150233,44.9546,50.6441,0.5538863,0.0001
32,2072.4746832847595,13.520534,46.081974,47.260563,0.6221269,1867.7218441433376,13.8062525,44.884342,46.767677,0.5552796,0.0001
33,2064.0117880503335,13.508172,45.988533,48.028946,0.6236578,1875.028064303928,13.880789,44.94444,46.184288,0.5540879,0.0001
34,2048.5729888280234,13.239804,45.816353,46.109493,0.62647057,1869.5563218858506,14.346503,44.885387,52.729076,0.55525887,0.0001
35,2049.7955152193704,13.413137,45.829613,47.40142,0.62625426,1863.4205356174045,14.263186,44.78742,50.82446,0.55719817,0.0001
36,2049.244316895803,13.435713,45.821117,47.28517,0.62639284,1851.5780232747395,13.753728,44.66974,46.341896,0.55952203,0.0001
37,2032.8248640696208,13.261059,45.64014,46.536804,0.62933826,1832.2113206651475,13.615697,44.425278,45.353153,0.56433,0.0001
38,2026.2301823298137,13.218686,45.565292,45.496063,0.630553,1840.3599904378254,13.836306,44.546684,45.81091,0.56194556,0.0001
39,2015.6609773635864,13.254511,45.448246,46.75266,0.63244855,1810.340823703342,13.829598,44.15335,48.1654,0.5696472,0.0001
40,2008.9285329977672,13.121577,45.371407,45.55746,0.63369036,1803.8339131673176,13.8173065,44.069344,48.01361,0.57128316,0.0001
41,2008.6081229845684,13.242012,45.368385,45.70289,0.63373923,1822.9344448513455,13.789022,44.319122,46.277367,0.56640965,0.0001
42,1999.0275446573894,13.222401,45.259937,46.565765,0.63548803,1807.7945980495876,13.718038,44.123978,47.83082,0.5702195,0.0001
43,1981.656662305196,13.125225,45.062973,46.17826,0.63865376,1802.6575690375435,14.190461,44.032814,52.810097,0.5719937,0.0001
44,1997.3645680745442,13.337347,45.241386,46.42892,0.6357868,1796.430214775933,14.583779,43.98942,56.572044,0.57283676,0.0001
45,1976.3578330675762,13.178906,45.00337,47.61574,0.63960904,1798.4551323784722,13.765123,44.00754,47.731266,0.57248485,0.0001
46,1981.1773114204407,13.112808,45.058395,47.050125,0.6387272,1797.8892194959853,13.805934,43.99761,49.79163,0.57267773,0.0001
47,1964.6124353408813,13.04316,44.86886,46.26613,0.64176023,1772.1615464952256,13.874433,43.65178,50.780357,0.57936907,0.0001
48,1968.7855186462402,13.0898285,44.916775,46.616493,0.6409946,1757.0518425835503,14.017986,43.46362,51.8944,0.5829874,0.0001
49,1964.004302183787,13.195457,44.86221,47.553677,0.6418663,1761.8699645996094,13.691427,43.547684,48.374348,0.5813728,0.0001
50,1950.87855275472,13.028335,44.71294,46.85024,0.6442456,1746.7929144965278,13.504248,43.344498,47.189835,0.58527017,0.0001
51,1938.5919105211894,12.962599,44.57162,46.59571,0.6464908,1743.2586093478733,13.883394,43.310608,50.54434,0.5859184,0.0001
52,1929.3082976341248,12.844923,44.464546,46.311703,0.6481873,1763.3669840494792,14.659212,43.526062,56.604362,0.5817884,0.0001
53,1925.4641089439392,12.929399,44.42063,47.00155,0.64888185,1734.5696885850693,13.792312,43.19729,48.922768,0.58808243,0.0001
54,1921.19589304924,12.921668,44.369976,47.252117,0.64968216,1766.9602271185981,13.781803,43.634136,46.142136,0.579709,0.0001
55,1942.0814361572266,13.042065,44.61115,47.283356,0.64586353,1744.6285942925347,13.523023,43.32543,45.582985,0.58563495,0.0001
56,1918.0080677668254,12.905694,44.33427,46.268715,0.6502458,1715.1251831054688,13.850101,42.93554,49.62225,0.5930592,0.0001
57,1935.8945960203807,13.191495,44.53726,47.379044,0.6470357,1727.2821621365017,13.539495,43.152214,46.342323,0.58894163,0.0001
58,1904.4224633375804,12.781381,44.177555,45.532867,0.652714,1699.0093282063801,13.628029,42.731663,48.66269,0.5969147,0.0001
59,1891.904151757558,12.733097,44.030983,45.368465,0.65501475,1701.585444132487,13.517531,42.82488,46.643753,0.5951543,0.0001
60,1886.6311326026917,12.689678,43.971203,45.74204,0.6559508,1693.736334906684,13.5578575,42.680923,48.850174,0.5978714,0.0001
61,1870.2245012124379,12.545131,43.77933,44.268616,0.6589469,1672.0018513997395,13.6521635,42.39065,50.330734,0.60332257,0.0001
62,1861.9665276209514,12.562717,43.682938,45.098984,0.66044706,1673.1507873535156,13.528409,42.41346,48.45252,0.60289556,0.0001
63,1863.1598611672719,12.56362,43.6969,46.034496,0.6602299,1680.2902086046006,13.601965,42.497593,48.274338,0.6013186,0.0001
64,1855.462295293808,12.590923,43.605904,45.986893,0.6616436,1679.7501898871528,13.647327,42.521515,49.392235,0.60086966,0.0001
65,1851.115046262741,12.514857,43.55559,45.717857,0.6624239,1656.200963338216,13.507154,42.205276,49.157192,0.6067843,0.0001
66,1855.001073519389,12.686771,43.60217,46.14658,0.66170156,1658.161617702908,13.623544,42.21795,51.02836,0.6065481,0.0001
67,1832.380590279897,12.411952,43.334797,45.348213,0.66583776,1660.0907219780815,13.820804,42.225456,52.22047,0.60640824,0.0001
68,1836.8040670553844,12.548466,43.386753,46.042244,0.665036,1673.598124186198,13.583162,42.408924,47.372158,0.6029805,0.0001
69,1816.9702011744182,12.327455,43.15227,45.776375,0.6686468,1648.7785424126519,13.669603,42.12205,49.380455,0.6083335,0.0001
70,1830.4726208845775,12.546368,43.312763,46.686077,0.6661775,1637.3893602159287,13.492929,41.949715,48.298733,0.61153185,0.0001
71,1836.7232356071472,12.538436,43.386215,45.88971,0.6650443,1628.0515441894531,13.783422,41.832,51.619125,0.613709,0.0001
72,1829.329572359721,12.634648,43.298813,46.815742,0.6663925,1633.9871995713975,13.543987,41.89045,48.683067,0.61262876,0.0001
73,1811.730871518453,12.510658,43.08779,46.024944,0.66963637,1615.5604095458984,13.2020235,41.719547,44.787937,0.6157831,0.0001
74,1796.9909279346466,12.340456,42.91454,45.742794,0.6722877,1614.0132921006943,13.47419,41.634342,46.96042,0.6173508,0.0001
